﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7q2vQa5a1LCqEbssxR1QXF","Cigarette Daydreams","Cage The Elephant","Melophobia","1","10","208765","spotify:user:abcportugal1988","2017-08-19T23:09:31Z"
"spotify:track:4iwpCp7qdDLngGI3gsVTza","Miracle Aligner","The Last Shadow Puppets, Alex Turner, Miles Kane","Everything You've Come To Expect (Deluxe Edition)","1","2","245727","spotify:user:abcportugal1988","2017-08-19T23:09:46Z"
"spotify:track:3KBqljFtiqQNCfVHTOL1y3","Radio","Sylvan Esso","What Now","1","4","212333","spotify:user:abcportugal1988","2017-08-19T23:10:43Z"
"spotify:track:08wnOyN1wyMaNrup3m353f","My Tears Are Becoming a Sea","M83","Hurry up, We're Dreaming","1","12","151826","spotify:user:abcportugal1988","2017-08-19T23:10:45Z"
"spotify:track:11X4Gw3T4hoktVruLgTnm1","Heartbeats","José González","Veneer","1","4","160240","spotify:user:abcportugal1988","2017-08-19T23:25:37Z"
"spotify:track:6oI3Inlpzlik5e7cy4Sdi8","The Gardener","The Tallest Man On Earth","Shallow Grave","1","6","237000","spotify:user:abcportugal1988","2017-08-19T23:27:11Z"
"spotify:track:7lGCq7kGHwOB2s47GaPKwl","A 1000 Times","Hamilton Leithauser + Rostam","I Had A Dream That You Were Mine","1","1","248360","spotify:user:abcportugal1988","2017-08-21T08:19:34Z"
"spotify:track:2liSlNexNAwuix9JhmF8KZ","Shuffle","Bombay Bicycle Club","A Different Kind Of Fix","1","6","235293","spotify:user:abcportugal1988","2017-08-20T07:14:19Z"
"spotify:track:11CbsnTGmG0bf0iOp7S7co","Head Rolls Off","Frightened Rabbit","Head Rolls Off","1","1","224346","spotify:user:abcportugal1988","2017-08-20T07:14:29Z"
"spotify:track:2os0aK782bakCPmjow0SU0","Drunk Drivers/Killer Whales","Car Seat Headrest","Teens Of Denial","1","6","374653","spotify:user:abcportugal1988","2017-08-20T07:15:09Z"
"spotify:track:14knd7ZIqcs7TdfrUXHsnH","Tightrope","Yeasayer","Good Evening Washington D.C., Live at 9.30 Club","1","13","224173","spotify:user:abcportugal1988","2017-08-20T07:15:35Z"
"spotify:track:6Hmj7SrLRbreLVfVS7mV1S","Wake Up","Arcade Fire","Funeral","1","7","335333","spotify:user:abcportugal1988","2017-08-20T07:15:42Z"
"spotify:track:0cFlrika7XOFWD2mMFLLkb","California English","Vampire Weekend","Contra","1","4","150240","spotify:user:abcportugal1988","2017-08-20T07:16:44Z"
"spotify:track:48bo7uexDvAThcRDvEB2W7","Simple Song","The Shins","Port Of Morrow","1","2","255400","spotify:user:abcportugal1988","2017-08-20T07:17:20Z"
"spotify:track:4AChFzfPjp6wh6bmI13lka","Kick Jump Twist","Sylvan Esso","What Now","1","5","263226","spotify:user:abcportugal1988","2017-08-20T07:17:43Z"
"spotify:track:0nhBKubnVz9yFNNprBniWz","YOUTH","Troye Sivan","Blue Neighbourhood (Deluxe)","1","10","185194","spotify:user:abcportugal1988","2017-08-20T07:18:59Z"
"spotify:track:2i63MeQVdPuLvDH4EdaqXO","Undercover Martyn","Two Door Cinema Club","Tourist History","1","7","166573","spotify:user:abcportugal1988","2017-08-20T07:21:30Z"
"spotify:track:4MrwJDlbxpRCdbZWznfbyx","Sweet Disposition","The Temper Trap","Conditions","1","3","234360","spotify:user:abcportugal1988","2017-08-20T07:21:48Z"
"spotify:track:0WQiDwKJclirSYG9v5tayI","There Is A Light That Never Goes Out - 2011 Remastered Version","The Smiths","The Queen Is Dead","1","9","244586","spotify:user:abcportugal1988","2017-08-20T07:22:12Z"
"spotify:track:7xyLPPjQuDxfW4Et9UbI38","Follow My Voice","Julie Byrne","Not Even Happiness","1","1","242387","spotify:user:abcportugal1988","2017-08-21T08:32:19Z"
"spotify:track:3Q3LbqfjDhWjmyYeirHfDe","Third of May / Ōdaigahara - Edit","Fleet Foxes","Third of May / Ōdaigahara (Edit)","1","1","242989","spotify:user:abcportugal1988","2017-08-21T08:34:02Z"
"spotify:track:2OC6drvbkFDGyPs6e1B2WF","Fool's Errand","Fleet Foxes","Crack-Up","1","9","288413","spotify:user:abcportugal1988","2017-08-21T08:34:17Z"
"spotify:track:66FWqWJuO7Gcp60ujiqOeN","Siphon","Zola Jesus","Siphon","1","1","229617","spotify:user:abcportugal1988","2017-08-31T23:47:40Z"
"spotify:track:7IH5g5SwdD0844hyHbmOzD","Doomed","Moses Sumney","Doomed","1","1","263473","spotify:user:abcportugal1988","2017-09-01T00:03:45Z"
"spotify:track:41bqk7dKc9Qj1WBQ0Jtbfx","You’ve Got a Woman","Whitney","You've Got a Woman / Gonna Hurry (As Slow as I Can)","1","1","193436","spotify:user:abcportugal1988","2017-09-01T00:06:55Z"
"spotify:track:1awjm21aczhnk8RJcZloqD","Twist Your Arm","Ten Fé","Hit The Light","1","4","309665","spotify:user:abcportugal1988","2017-09-01T00:21:54Z"
"spotify:track:664ozfzs0kbB7n4BRV7Y7y","Bride","San Fermin","Belong","1","2","229080","spotify:user:abcportugal1988","2017-09-01T00:35:53Z"
